odime, MAMAMeasurement, OSISInternalSetpoint, OCOCOControllerOutput
000:46:01.00,50.0139,50,44.1811
000:46:01.00,50.0138,50,44.181
000:46:02.00,50.0137,50,44.1809
000:46:02.00,50.0135,50,44.1808
000:46:03.00,50.0134,50,44.1807
000:46:03.00,50.0133,50,44.1806
000:46:04.00,50.0132,50,44.1805
000:46:04.00,50.0131,50,44.1803
000:46:05.00,50.013,50,44.1803
000:46:05.00,50.0128,50,44.1801
000:46:06.00,50.0127,50,44.18
000:46:06.00,50.0126,50,44.1799
000:46:07.00,50.0125,50,44.1798
000:46:07.00,50.0123,50,44.1797
000:46:08.00,50.0122,50,44.1796
000:46:08.00,50.0121,50,44.1795
000:46:09.00,50.012,50,44.1794
000:46:09.00,50.0119,50,44.1792
000:46:10.00,50.0118,50,44.1791
000:46:10.00,50.0116,50,44.179
000:46:11.00,50.0115,50,44.1789
000:46:11.00,50.0114,50,44.1788
000:46:12.00,50.0113,50,44.1787
000:46:12.00,50.0112,50,44.1785
000:46:13.00,50.0111,50,44.1784
000:46:13.00,50.0109,55,38.1735
000:46:14.00,50.0109,55,38.1639
000:46:14.00,50.0112,55,38.1499
000:46:15.00,50.0121,55,38.1414
000:46:15.00,50.0143,55,38.1297
000:46:16.00,50.0174,55,38.1239
000:46:16.00,50.023,55,38.1162
000:46:17.00,50.0289,55,38.1137
000:46:17.00,50.0383,55,38.1107
000:46:18.00,50.0472,55,38.1118
000:46:18.00,50.0604,55,38.1135
000:46:19.00,50.072,55,38.118
000:46:19.00,50.0887,55,38.1239
000:46:20.00,50.1027,55,38.1312
000:46:20.00,50.1224,55,38.1408
000:46:21.00,50.1383,55,38.1505
000:46:21.00,50.1603,55,38.163
000:46:22.00,50.1777,55,38.1746
000:46:22.00,50.2016,55,38.1894
000:46:23.00,50.2202,55,38.2025
000:46:23.00,50.2454,55,38.2191
000:46:24.00,50.2648,55,38.2333
000:46:24.00,50.2911,55,38.2512
000:46:25.00,50.3111,55,38.2663
000:46:25.00,50.3381,55,38.2852
000:46:26.00,50.3586,55,38.3008
000:46:26.00,50.3861,55,38.3205
000:46:27.00,50.4069,55,38.3366
000:46:27.00,50.4347,55,38.3568
000:46:28.00,50.4557,55,38.3732
000:46:28.00,50.4837,55,38.3938
000:46:29.00,50.5047,55,38.4105
000:46:29.00,50.5329,55,38.4313
000:46:30.00,50.554,55,38.4481
000:46:30.00,50.5822,55,38.4692
000:46:31.00,50.6033,55,38.486
000:46:31.00,50.6314,55,38.5072
000:46:32.00,50.6525,55,38.5242
000:46:32.00,50.6806,55,38.5455
000:46:33.00,50.7017,55,38.5624
000:46:33.00,50.7297,55,38.5838
000:46:34.00,50.7507,55,38.6007
000:46:34.00,50.7786,55,38.6221
000:46:35.00,50.7995,55,38.6391
000:46:35.00,50.8273,55,38.6604
000:46:36.00,50.8481,55,38.6774
000:46:36.00,50.8758,55,38.6987
000:46:37.00,50.8965,55,38.7156
000:46:37.00,50.924,55,38.7369
000:46:38.00,50.9446,55,38.7538
000:46:38.00,50.972,55,38.7751
000:46:39.00,50.9925,55,38.7919
000:46:39.00,51.0197,55,38.8132
000:46:40.00,51.0401,55,38.83
000:46:40.00,51.0672,55,38.8511
000:46:41.00,51.0874,55,38.8679
000:46:41.00,51.1143,55,38.889
000:46:42.00,51.1344,55,38.9057
000:46:42.00,51.1612,55,38.9267
