ModTim, NONO:Measurement, MOMO:InternalSetpoint, SOSO:ControllerOutput
%,%,%,%
000:58:28.00,649.976,650,43.6847
000:58:28.00,649.977,650,43.6847
000:58:29.00,649.977,650,43.6847
000:58:29.00,649.978,650,43.6848
000:58:30.00,649.979,650,43.6848
000:58:30.00,649.979,650,43.6848
000:58:31.00,649.98,650,43.6848
000:58:31.00,649.98,650,43.6848
000:58:32.00,649.981,650,43.6848
000:58:32.00,649.982,650,43.6848
000:58:33.00,649.982,650,43.6848
000:58:33.00,649.983,650,43.6849
000:58:34.00,649.983,650,43.6849
000:58:34.00,649.984,650,43.6849
000:58:35.00,649.984,650,43.6849
000:58:35.00,649.985,650,43.6849
000:58:36.00,649.985,650,43.6849
000:58:36.00,649.985,650,43.6849
000:58:37.00,649.986,650,43.6849
000:58:37.00,649.986,650,43.6849
000:58:38.00,649.987,650,43.685
000:58:38.00,649.987,650,43.685
000:58:39.00,649.987,650,43.685
000:58:39.00,649.988,650,43.685
000:58:40.00,649.988,650,43.685
000:58:40.00,649.988,650,43.685
000:58:41.00,649.989,650,43.685
000:58:41.00,649.989,650,43.685
000:58:42.00,649.989,650,43.685
000:58:42.00,649.99,650,43.685
000:58:43.00,649.99,650,43.685
000:58:43.00,649.99,650,43.685
000:58:44.00,649.991,650,43.6851
000:58:44.00,649.991,650,43.6851
000:58:45.00,649.991,650,43.6851
000:58:45.00,649.991,650,43.6851
000:58:46.00,649.992,650,43.6851
000:58:46.00,649.992,650,43.6851
000:58:47.00,649.992,650,43.6851
000:58:47.00,649.992,650,43.6851
000:58:48.00,649.993,650,43.6851
000:58:48.00,649.993,650,43.6851
000:58:49.00,649.993,650,43.6851
000:58:49.00,649.993,650,43.6851
000:58:50.00,649.993,650,43.6851
000:58:50.00,649.994,650,43.6851
000:58:51.00,649.994,650,43.6851
000:58:51.00,649.994,650,43.6851
000:58:52.00,649.994,650,43.6851
000:58:52.00,649.994,650,43.6851
000:58:53.00,649.994,650,43.6851
000:58:53.00,649.995,650,43.6851
000:58:54.00,649.995,650,43.6852
000:58:54.00,649.995,650,43.6852
000:58:55.00,649.995,650,43.6852
000:58:55.00,649.995,650,43.6852
000:58:56.00,649.995,650,43.6852
000:58:56.00,649.996,650,43.6852
000:58:57.00,649.996,650,43.6852
000:58:57.00,649.996,650,43.6852
000:58:58.00,649.996,650,43.6852
000:58:58.00,649.996,650,43.6852
000:58:59.00,649.996,650,43.6852
000:58:59.00,649.996,650,43.6852
000:59:00.00,649.996,650,43.6852
000:59:00.00,649.997,650,43.6852
000:59:01.00,649.997,610,43.2192
000:59:01.00,649.941,610,43.1707
000:59:02.00,649.786,610,43.1399
000:59:02.00,649.374,610,43.0958
000:59:03.00,648.909,610,43.069
000:59:03.00,648.083,610,43.0308
000:59:04.00,647.364,610,43.0079
000:59:04.00,646.241,610,42.9751
000:59:05.00,645.368,610,42.9555
000:59:05.00,644.086,610,42.927
000:59:06.00,643.148,610,42.9099
000:59:06.00,641.82,610,42.8847
000:59:07.00,640.883,610,42.8694
000:59:07.00,639.583,610,42.8467
000:59:08.00,638.688,610,42.8328
000:59:08.00,637.462,610,42.8118
000:59:09.00,636.63,610,42.7989
000:59:09.00,635.502,610,42.7794
000:59:10.00,634.742,610,42.7672
000:59:10.00,633.717,610,42.7488
000:59:11.00,633.03,610,42.7373
000:59:11.00,632.105,610,42.7198
000:59:12.00,631.486,610,42.7089
000:59:12.00,630.653,610,42.6922
000:59:13.00,630.095,610,42.6817
000:59:13.00,629.343,610,42.6658
000:59:14.00,628.839,610,42.6558
000:59:14.00,628.158,610,42.6406
000:59:15.00,627.7,610,42.631
000:59:15.00,627.078,610,42.6165
000:59:16.00,626.659,610,42.6074
000:59:16.00,626.089,610,42.5936
000:59:17.00,625.703,610,42.5848
000:59:17.00,625.177,610,42.5717
000:59:18.00,624.819,610,42.5634
000:59:18.00,624.33,610,42.5509
000:59:19.00,623.997,610,42.543
000:59:19.00,623.541,610,42.5312
000:59:20.00,623.229,610,42.5237
000:59:20.00,622.801,610,42.5124
000:59:21.00,622.509,610,42.5053
000:59:21.00,622.106,610,42.4946
000:59:22.00,621.83,610,42.4879
000:59:22.00,621.451,610,42.4778
000:59:23.00,621.191,610,42.4714
000:59:23.00,620.833,610,42.4619
000:59:24.00,620.587,610,42.4558
000:59:24.00,620.248,610,42.4468
000:59:25.00,620.015,610,42.4411
000:59:25.00,619.695,610,42.4325
000:59:26.00,619.475,610,42.4271
000:59:26.00,619.171,610,42.419
000:59:27.00,618.963,610,42.4139
000:59:27.00,618.676,610,42.4063
000:59:28.00,618.479,610,42.4014
000:59:28.00,618.207,610,42.3942
000:59:29.00,618.02,610,42.3896
000:59:29.00,617.763,610,42.3828
